p34933,Kerrostalo | 4h + k + vh + kph + wc + p,"Sammonkatu 28, Kaleva, Tampere",225 000 €,69 m²,1956
20012088,"Kerrostalo | 1h, k, kph, vh","Saarenvainionkatu 13, Kaukajärvi, Tampere",76 000 €,"36,5 m²",1971
9578581,"Rivitalo | 2h, avok., kph / s, vh, varasto","Kurunniitynkatu 9, Holvasti, Tampere",135 000 €,55 m²,1972
9526340,Kerrostalo | 2H + K,"Välimaankatu 7, Tammela, Tampere",169 000 €,"48,6 m²",1932
9710395,"Kerrostalo | 1h, avok., kph / wc, lasit.p","Tiporaitti 9 B 75, Santalahti, Tampere",169 000 €,"28,5 m²",2020
681629,"Kerrostalo | 3h, k, kph, vh, p","Kuoppamäentie 35 D, Nekala, Tampere",147 000 €,66 m²,1956
9446617,"Omakotitalo | 5h, avok, kph, s, 2eril.wc, khh, 2vh, var, parveke","Persiljakatu 3, Levonmäki, Tampere",395 000 €,150 m²,1999
681935,"Kerrostalo | 3h, k, kph, vh, las.p","Pinninkatu 38 B, Tammela, Tampere",235 000 €,77 m²,1972
7943443,Kerrostalo | 3h + k + s + 2 x wc + las. parveke,"Takahuhdinkatu 106 A, Takahuhti, Tampere",249 000 €,"80,5 m²",2006
1278464,"Rivitalo | 3h, k, kph, sauna, erillinen wc","Rintamäenkatu 13, Koivistonkylä, Tampere",229 000 €,80 m²,1973
1278529,"Omakotitalo | Oh, k, ruokailutila, mh 4-6, khh, kph, s, tkh, wc-","Mutkakatu 34, Petsamo, Tampere",497 000 €,195 m²,1938
1278649,"Rivitalo | 4h, k, s, erill. wc, terassi","Pirttikatu 7, Pappila, Tampere",239 000 €,107 m²,1973
678076,"Kerrostalo | 2h, kt, s","Männistönkatu 6 A, Lentävänniemi, Tampere",398 000 €,"87,5 m²",2018
676692,"Rivitalo | 4h, k, 2 wc, ph, s, khh, lasitettu parveke, et, tk","Vanha Kangasalantie 108 C, Vehmainen, Tampere",333 000 €,"112,5 m²",1985
1278669,"Kerrostalo | 3h, k, s, wc, p","Haarlankatu 9, Onkiniemi, Tampere",324 000 €,"96,5 m²",2006
1278895,Kerrostalo | 1h + kt + p,"Makkarajärvenkatu 80 A 47, Hervanta, Tampere",132 200 €,26 m²,2021
1278893,Kerrostalo | 1h + kt,"Makkarajärvenkatu 80 A 22, Hervanta, Tampere",120 800 €,"25,5 m²",2021
1278898,Kerrostalo | 1h + kt,"Makkarajärvenkatu 80 A 56, Hervanta, Tampere",125 800 €,"25,5 m²",2021
1278897,Kerrostalo | 2h + kt + parvi,"Makkarajärvenkatu 80 A 53, Hervanta, Tampere",204 800 €,"44,5 m²",2021
1278896,Kerrostalo | 2h + kt + parvi,"Makkarajärvenkatu 80 A 50, Hervanta, Tampere",184 800 €,34 m²,2021
1278885,Kerrostalo | 2h + kt,"Makkarajärvenkatu 80 A 17, Hervanta, Tampere",174 800 €,"49,5 m²",2021
1278892,Kerrostalo | 1h + kt,"Makkarajärvenkatu 80 A 21, Hervanta, Tampere",120 800 €,26 m²,2021
1278889,Kerrostalo | 1h + kt,"Makkarajärvenkatu 80 A 19, Hervanta, Tampere",120 800 €,26 m²,2021
1278887,Kerrostalo | 2h + kt,"Makkarajärvenkatu 80 A 18, Hervanta, Tampere",165 200 €,"44,5 m²",2021
1278891,Kerrostalo | 3h + kt,"Makkarajärvenkatu 80 A 20, Hervanta, Tampere",179 800 €,51 m²,2021
1278883,Kerrostalo,"Makkarajärvenkatu 80 A 54, Hervanta, Tampere",265 800 €,"82,5 m²",2021
