7945103,"Omakotitalo | 3mh, oh, k, khh, 2wc, vh, pesuh, sauna / autotalli, 2 var","Lankoorintie 289, Niemi, Eurajoki",149 000 €,115 m²,1985
7846561,Kerrostalo | 2h + kt + s,"Weener-tie 3 A2, Eurajoki",137 700 €,41 m²,2020
7846461,Kerrostalo | 4h + kt + khh + s,"Weener-tie 3 A1, Eurajoki",247 100 €,80 m²,2020
7846780,Kerrostalo | 3h + kt + s,"Weener-tie 3 A16, Eurajoki",219 000 €,64 m²,2020
20158169,Rivitalo | 3h + k + s,"Mattilantie 1, Kirkonkylä, Eurajoki",92 000 €,"79,5 m²",1987
p32489,Omakotitalo | 4 h + k + khh + s,"Vaarapolku 3, Lavila, ja Mattila Eurajoki",144 000 €,119 m²,1990
7846771,Kerrostalo | 1h + kt,"Weener-tie 3 A8, Eurajoki",99 000 €,"27,5 m²",2020
7846742,Kerrostalo | 3h + kt + s,"Weener-tie 3 A13, Eurajoki",222 209 €,"66,5 m²",2020
20038598,"Omakotitalo | tupak + et + tv-h + wc + khh + saunaos, yläk. 2mh","Pohjarannantie 65, Eurajoki, Eurajoki",288 000 €,130 m²,1950
p27876,"Omakotitalo | 3 mh, oh ja keittiö, 2 x vaatehuone, takkahuone, sauna, puku- ja pesuhuone.","Peltomaantie 14, Luvia, Eurajoki",0 €,140 m²,-
9874045,Omakotitalo | 3 h + k + s + khh,"Marjastentie 29, Lapijoki, Eurajoki",129 500 €,"108,4 m²",2000
20032139,"Omakotitalo | 4h, k, ph, s, wc","Linnamaantie 174, Eurajoki, Eurajoki",65 000 €,93 m²,1950
9845292,"Omakotitalo | 5 mh, oh, työh, aula, k, s, ph, pukuh, khh, 2 x wc","Linjatie 9, Luvia, Eurajoki",197 000 €arrow_downward229 000 €,197 m²,1989
n98384,Omakotitalo | 4h + k + vh + kph + s + wc + khh + at,"Luoteisväylä 6, Luvia, Eurajoki",153 100 €,120 m²,1974
678667,"Omakotitalo | 4h, k, kph, s, tkh","Nummenkuja 17, Luvia, Eurajoki",98 000 €,117 m²,1974
7938248,Rivitalo | 3h + k + s,"Myllärintie 2 A, Keskusta, Eurajoki",87 000 €,"77,5 m²",1983
667892,"Omakotitalo | 3-4h, k, s","Koivukuja 3, Keskusta, Eurajoki",115 000 €arrow_downward125 000 €,108 m²,1955
7937910,Omakotitalo | Alakerta: et + mh + oh + k + wc + khh + kph + sauna. Yläkerta: 2,"Kämpäntie 86, Irjanne, Eurajoki",149 000 €,120 m²,1956
676656,"Omakotitalo | 4h, k, kph, s,","Suohakantie 7, Luvia, Eurajoki",108 000 €,108 m²,1976
n92846,Omakotitalo | 2-3 mh + k + 2xWC + pukuh + pesuhuone + sauna + erillinen yksi,"Peltotie 2, Keskusta, Eurajoki",142 000 €,141 m²,1969
678528,Omakotitalo | Päärak:3h + rt + k + khh + s-tilat,"Rajakarintie, Luvia, Eurajoki",565 000 €,108 m²,2009
9754194,Omakotitalo | k + oh + 2mh + khh + erill. wc + kph + s,"Järvenpäänkuja 14, Eurajoki, Eurajoki",89 000 €,102 m²,1920
7886200,Kerrostalo | 2h + kt,"Weener-tie 3 A25, Eurajoki",167 800 €,48 m²,2020
7846784,Kerrostalo | 3h + kt + s,"Weener-tie 3 A19, Eurajoki",232 200 €,"66,5 m²",2020
7846777,Kerrostalo | 3h + kt + s,"Weener-tie 3 A9, Eurajoki",210 400 €,64 m²,2020
7846768,Kerrostalo | 1h + kt,"Weener-tie 3 A15, Eurajoki",103 000 €,"27,5 m²",2020
7846744,Kerrostalo | 2h + kt + s,"Weener-tie 3 A7, Eurajoki",128 600 €,38 m²,2020
7846765,Kerrostalo | 2h + kt + s,"Weener-tie 3 A20, Eurajoki",136 600 €,38 m²,2020
